### Cluster 50 — Symptoms (107)
Symptom,Frequency 
limbs go to sleep,pains at every weather change,1.0,1
limbs go to sleep,sensation of stiffness in legs after sleep in evening,1.0,1
limbs go to sleep,prickling stitches in joints of fingers,1.0,1
limbs go to sleep,cold knees,1.0,1
limbs go to sleep,shoulder pain worse from motion,1.0,1
limbs go to sleep,tearing in right hip,1.0,1
limbs go to sleep,drawing in arm on which he lies at night,1.0,1
limbs go to sleep,boring pains in limbs,1.0,1
limbs go to sleep,pressing cramp-like pain in small of back,1.0,1
limbs go to sleep,stitches in shoulders,1.0,1
limbs go to sleep,lancinating pain in wrists when grasping,1.0,1
limbs go to sleep,sensation of plug in back,1.0,1
limbs go to sleep,sensation as if tendons of hand were shortened,1.0,1
limbs go to sleep,sprained pain in right hand,1.0,1
limbs go to sleep,back pain worse on sitting,1.0,1
limbs go to sleep,drawing in thigh,1.0,1
limbs go to sleep,lack of strength in knees,1.0,1
limbs go to sleep,cramp-like pain on outside of left thigh,1.0,1
limbs go to sleep,knees go to sleep,1.0,1
limbs go to sleep,pain in joints of hands,1.0,1
limbs go to sleep,drawing pain from abdomen down into leg,1.0,1
limbs go to sleep,great depression of vital forces,1.0,1
limbs go to sleep,arms weary when writing,1.0,1
limbs go to sleep,burning in fingers,1.0,1
limbs go to sleep,burning in bones,1.0,1
limbs go to sleep,heartburn very persistent,1.0,1
limbs go to sleep,thigh stitches passing downward when walking,1.0,1
limbs go to sleep,stiffness of nape,1.0,1
limbs go to sleep,paralytic weakness of right shoulder,1.0,1
limbs go to sleep,great inclination to stretch limbs in evening,1.0,1
limbs go to sleep,stitches in thigh,1.0,1
limbs go to sleep,limbs are bruised,1.0,1
limbs go to sleep,severe nosebleed almost daily,1.0,1
limbs go to sleep,toes red,1.0,1
limbs go to sleep,hip pain extending to thigh,1.0,1
limbs go to sleep,painful sensation as if hat band were too tight,1.0,1
limbs go to sleep,tearing in fingers of left hand,1.0,1
limbs go to sleep,bone pain painful on pressure,1.0,1
limbs go to sleep,complementary with kali carb.,1.0,1
cold knees,burning in limbs,1.0,1
cold knees,rheumatic drawing from loins to coccyx,1.0,1
cold knees,drawing tearing in left arm from elbow to hand,1.0,1
cold knees,hip pain extending to sacrum,1.0,1
cold knees,prickling stitches in fingers,1.0,1
cold knees,toes swollen,1.0,1
cold knees,hand pain worse in windy weather,1.0,1
cold knees,shoulder pain worse in morning,1.0,1
cold knees,tension in thigh in morning,1.0,1
cold knees,pains when beginning to walk,1.0,1
cold knees,prostrated with rheumatic pains,1.0,1
cold knees,great hoarseness,1.0,1
cold knees,drawing in limbs,1.0,1
cold knees,sense of constriction in thigh,1.0,1
cold knees,elbow pain worse by touch,1.0,1
cold knees,tearing in right thigh,1.0,1
cold knees,burning about scapulae,1.0,1
cold knees,cold limbs,1.0,1
cold knees,left thigh pain when lifting it,1.0,1
cold knees,stitches in ankle joint,1.0,1
cold knees,paralytic weakness of right arm,1.0,1
cold knees,cramps in calves at night,1.0,1
cold knees,stiffness of thigh on standing,1.0,1
cold knees,tearing in either wrist,1.0,1
cold knees,pain in scapular region,1.0,1
cold knees,patients with lost vital forces from fluid loss,1.0,1
cold knees,back pain worse on stooping,1.0,1
cold knees,burning in joints of fingers,1.0,1
cold knees,cramp-like tension in shoulders,1.0,1
cold knees,drawing pain in nape up into head,1.0,1
cold knees,unable to sit,1.0,1
cold knees,cramps in lower leg when walking,1.0,1
cold knees,limbs go to sleep easily,1.0,1
cold knees,leg stiffness especially on first beginning to walk,1.0,1
cold knees,aching along spine,1.0,1
cold knees,paralytic pains in knees,1.0,1
cold knees,drawing pain in hip joints,1.0,1
cold knees,hat band sensation remains after hat removed,1.0,1
cold knees,bruised pain in elbow joints,1.0,1
cold knees,stiffness of back,1.0,1
cold knees,aching pain from loins to coccyx,1.0,1
cold knees,cramps in soles evenings after lying down,1.0,1
cold knees,burning on scapula,1.0,1
cold knees,boring in joints of fingers,1.0,1
cold knees,fingers drawn out of shape,1.0,1
cold knees,drawing in shafts of bones,1.0,1
cold knees,drawing pain in back,1.0,1
cold knees,drawing in joints of fingers,1.0,1
cold knees,burning about hips,1.0,1
cold knees,stitches in right great toe,1.0,1
cold knees,pinching pressing pain in lower spine,1.0,1
cold knees,tearing beneath hip,1.0,1
cold knees,spine is bent,1.0,1
cold knees,toe pain worse when walking,1.0,1
cold knees,pressing pain beneath coccyx,1.0,1
cold knees,roughness of voice,1.0,1
cold knees,tension in knees on waking,1.0,1
cold knees,boring in fingers,1.0,1
cold knees,burning in thigh,1.0,1
cold knees,rheumatic drawing in back,1.0,1
cold knees,stitches in patella on rising,1.0,1
cold knees,burning on right shoulder,1.0,1
cold knees,toes stinging,1.0,1
cold knees,drawing rheumatic pains in right shoulder,1.0,1
cold knees,tearing in hip,1.0,1
cold knees,voice almost fails at times,1.0,1
cold knees,sensation as if tendons of wrist were shortened,1.0,1
cold knees,pains at every weather change,1.0,1
cold knees,sensation of stiffness in legs after sleep in evening,1.0,1
cold knees,prickling stitches in joints of fingers,1.0,1
cold knees,shoulder pain worse from motion,1.0,1
cold knees,tearing in right hip,1.0,1
cold knees,drawing in arm on which he lies at night,1.0,1
cold knees,boring pains in limbs,1.0,1
cold knees,pressing cramp-like pain in small of back,1.0,1
cold knees,stitches in shoulders,1.0,1
cold knees,lancinating pain in wrists when grasping,1.0,1
cold knees,sensation of plug in back,1.0,1
cold knees,sensation as if tendons of hand were shortened,1.0,1
cold knees,sprained pain in right hand,1.0,1
cold knees,back pain worse on sitting,1.0,1
cold knees,drawing in thigh,1.0,1
cold knees,lack of strength in knees,1.0,1
cold knees,cramp-like pain on outside of left thigh,1.0,1
cold knees,knees go to sleep,1.0,1
cold knees,pain in joints of hands,1.0,1
cold knees,drawing pain from abdomen down into leg,1.0,1
cold knees,great depression of vital forces,1.0,1
cold knees,arms weary when writing,1.0,1
cold knees,burning in fingers,1.0,1
cold knees,limbs go to sleep,1.0,1
cold knees,burning in bones,1.0,1
cold knees,heartburn very persistent,1.0,1
cold knees,thigh stitches passing downward when walking,1.0,1
cold knees,stiffness of nape,1.0,1
cold knees,paralytic weakness of right shoulder,1.0,1
cold knees,great inclination to stretch limbs in evening,1.0,1
cold knees,stitches in thigh,1.0,1
cold knees,limbs are bruised,1.0,1
cold knees,severe nosebleed almost daily,1.0,1
cold knees,toes red,1.0,1
cold knees,hip pain extending to thigh,1.0,1
cold knees,painful sensation as if hat band were too tight,1.0,1
cold knees,tearing in fingers of left hand,1.0,1
cold knees,bone pain painful on pressure,1.0,1
cold knees,complementary with kali carb.,1.0,1
stitches in shoulders,burning in limbs,1.0,1
stitches in shoulders,rheumatic drawing from loins to coccyx,1.0,1
stitches in shoulders,drawing tearing in left arm from elbow to hand,1.0,1
stitches in shoulders,hip pain extending to sacrum,1.0,1
stitches in shoulders,prickling stitches in fingers,1.0,1
stitches in shoulders,toes swollen,1.0,1
stitches in shoulders,hand pain worse in windy weather,1.0,1
stitches in shoulders,shoulder pain worse in morning,1.0,1
stitches in shoulders,tension in thigh in morning,1.0,1
stitches in shoulders,pains when beginning to walk,1.0,1
stitches in shoulders,prostrated with rheumatic pains,1.0,1
stitches in shoulders,great hoarseness,1.0,1
stitches in shoulders,drawing in limbs,1.0,1
stitches in shoulders,sense of constriction in thigh,1.0,1
stitches in shoulders,elbow pain worse by touch,1.0,1
stitches in shoulders,tearing in right thigh,1.0,1
stitches in shoulders,burning about scapulae,1.0,1
stitches in shoulders,cold limbs,1.0,1
stitches in shoulders,left thigh pain when lifting it,1.0,1
stitches in shoulders,stitches in ankle joint,1.0,1
stitches in shoulders,paralytic weakness of right arm,1.0,1
stitches in shoulders,cramps in calves at night,1.0,1
stitches in shoulders,stiffness of thigh on standing,1.0,1
stitches in shoulders,tearing in either wrist,1.0,1
stitches in shoulders,pain in scapular region,1.0,1
stitches in shoulders,patients with lost vital forces from fluid loss,1.0,1
stitches in shoulders,back pain worse on stooping,1.0,1
stitches in shoulders,burning in joints of fingers,1.0,1
stitches in shoulders,cramp-like tension in shoulders,1.0,1
stitches in shoulders,drawing pain in nape up into head,1.0,1
stitches in shoulders,unable to sit,1.0,1
stitches in shoulders,cramps in lower leg when walking,1.0,1
stitches in shoulders,limbs go to sleep easily,1.0,1
stitches in shoulders,leg stiffness especially on first beginning to walk,1.0,1
stitches in shoulders,aching along spine,1.0,1
stitches in shoulders,paralytic pains in knees,1.0,1
stitches in shoulders,drawing pain in hip joints,1.0,1
stitches in shoulders,hat band sensation remains after hat removed,1.0,1
stitches in shoulders,bruised pain in elbow joints,1.0,1
stitches in shoulders,stiffness of back,1.0,1
stitches in shoulders,aching pain from loins to coccyx,1.0,1
stitches in shoulders,cramps in soles evenings after lying down,1.0,1
stitches in shoulders,burning on scapula,1.0,1
stitches in shoulders,boring in joints of fingers,1.0,1
stitches in shoulders,fingers drawn out of shape,1.0,1
stitches in shoulders,drawing in shafts of bones,1.0,1
stitches in shoulders,drawing pain in back,1.0,1
stitches in shoulders,drawing in joints of fingers,1.0,1
stitches in shoulders,burning about hips,1.0,1
stitches in shoulders,stitches in right great toe,1.0,1
stitches in shoulders,pinching pressing pain in lower spine,1.0,1
stitches in shoulders,tearing beneath hip,1.0,1
stitches in shoulders,spine is bent,1.0,1
stitches in shoulders,toe pain worse when walking,1.0,1
stitches in shoulders,pressing pain beneath coccyx,1.0,1
stitches in shoulders,roughness of voice,1.0,1
stitches in shoulders,tension in knees on waking,1.0,1
stitches in shoulders,boring in fingers,1.0,1
stitches in shoulders,burning in thigh,1.0,1
stitches in shoulders,rheumatic drawing in back,1.0,1
stitches in shoulders,stitches in patella on rising,1.0,1
stitches in shoulders,burning on right shoulder,1.0,1
stitches in shoulders,toes stinging,1.0,1
stitches in shoulders,drawing rheumatic pains in right shoulder,1.0,1
stitches in shoulders,tearing in hip,1.0,1
stitches in shoulders,voice almost fails at times,1.0,1
stitches in shoulders,sensation as if tendons of wrist were shortened,1.0,1
stitches in shoulders,pains at every weather change,1.0,1
stitches in shoulders,sensation of stiffness in legs after sleep in evening,1.0,1
stitches in shoulders,prickling stitches in joints of fingers,1.0,1
stitches in shoulders,cold knees,1.0,1
stitches in shoulders,shoulder pain worse from motion,1.0,1
stitches in shoulders,tearing in right hip,1.0,1
stitches in shoulders,drawing in arm on which he lies at night,1.0,1
stitches in shoulders,boring pains in limbs,1.0,1
stitches in shoulders,pressing cramp-like pain in small of back,1.0,1
stitches in shoulders,lancinating pain in wrists when grasping,1.0,1
stitches in shoulders,sensation of plug in back,1.0,1
stitches in shoulders,sensation as if tendons of hand were shortened,1.0,1
stitches in shoulders,sprained pain in right hand,1.0,1
stitches in shoulders,back pain worse on sitting,1.0,1
stitches in shoulders,drawing in thigh,1.0,1
stitches in shoulders,lack of strength in knees,1.0,1
stitches in shoulders,cramp-like pain on outside of left thigh,1.0,1
stitches in shoulders,knees go to sleep,1.0,1
stitches in shoulders,pain in joints of hands,1.0,1
stitches in shoulders,drawing pain from abdomen down into leg,1.0,1
stitches in shoulders,great depression of vital forces,1.0,1
stitches in shoulders,arms weary when writing,1.0,1
stitches in shoulders,burning in fingers,1.0,1
stitches in shoulders,limbs go to sleep,1.0,1
stitches in shoulders,burning in bones,1.0,1
stitches in shoulders,heartburn very persistent,1.0,1
stitches in shoulders,thigh stitches passing downward when walking,1.0,1
stitches in shoulders,stiffness of nape,1.0,1
stitches in shoulders,paralytic weakness of right shoulder,1.0,1
stitches in shoulders,great inclination to stretch limbs in evening,1.0,1
stitches in shoulders,stitches in thigh,1.0,1
stitches in shoulders,limbs are bruised,1.0,1
stitches in shoulders,severe nosebleed almost daily,1.0,1
stitches in shoulders,toes red,1.0,1
stitches in shoulders,hip pain extending to thigh,1.0,1
stitches in shoulders,painful sensation as if hat band were too tight,1.0,1
stitches in shoulders,tearing in fingers of left hand,1.0,1
stitches in shoulders,bone pain painful on pressure,1.0,1
stitches in shoulders,complementary with kali carb.,1.0,1
burning in limbs,rheumatic drawing from loins to coccyx,1.0,1
burning in limbs,drawing tearing in left arm from elbow to hand,1.0,1
burning in limbs,hip pain extending to sacrum,1.0,1
burning in limbs,prickling stitches in fingers,1.0,1
burning in limbs,toes swollen,1.0,1
burning in limbs,hand pain worse in windy weather,1.0,1
burning in limbs,shoulder pain worse in morning,1.0,1
burning in limbs,tension in thigh in morning,1.0,1
burning in limbs,pains when beginning to walk,1.0,1
burning in limbs,prostrated with rheumatic pains,1.0,1
burning in limbs,great hoarseness,1.0,1
burning in limbs,drawing in limbs,1.0,1
burning in limbs,sense of constriction in thigh,1.0,1
burning in limbs,elbow pain worse by touch,1.0,1
burning in limbs,tearing in right thigh,1.0,1
burning in limbs,burning about scapulae,1.0,1
burning in limbs,cold limbs,1.0,1
burning in limbs,left thigh pain when lifting it,1.0,1
burning in limbs,stitches in ankle joint,1.0,1
burning in limbs,paralytic weakness of right arm,1.0,1
burning in limbs,cramps in calves at night,1.0,1
burning in limbs,stiffness of thigh on standing,1.0,1
burning in limbs,tearing in either wrist,1.0,1
burning in limbs,pain in scapular region,1.0,1
burning in limbs,patients with lost vital forces from fluid loss,1.0,1
burning in limbs,back pain worse on stooping,1.0,1
burning in limbs,burning in joints of fingers,1.0,1
burning in limbs,cramp-like tension in shoulders,1.0,1
burning in limbs,drawing pain in nape up into head,1.0,1
burning in limbs,unable to sit,1.0,1
burning in limbs,cramps in lower leg when walking,1.0,1
burning in limbs,limbs go to sleep easily,1.0,1
burning in limbs,leg stiffness especially on first beginning to walk,1.0,1
burning in limbs,aching along spine,1.0,1
burning in limbs,paralytic pains in knees,1.0,1
burning in limbs,drawing pain in hip joints,1.0,1
burning in limbs,hat band sensation remains after hat removed,1.0,1
burning in limbs,bruised pain in elbow joints,1.0,1
burning in limbs,stiffness of back,1.0,1
burning in limbs,aching pain from loins to coccyx,1.0,1
burning in limbs,cramps in soles evenings after lying down,1.0,1
burning in limbs,burning on scapula,1.0,1
burning in limbs,boring in joints of fingers,1.0,1
burning in limbs,fingers drawn out of shape,1.0,1
burning in limbs,drawing in shafts of bones,1.0,1
burning in limbs,drawing pain in back,1.0,1
burning in limbs,drawing in joints of fingers,1.0,1
burning in limbs,burning about hips,1.0,1
burning in limbs,stitches in right great toe,1.0,1
burning in limbs,pinching pressing pain in lower spine,1.0,1
burning in limbs,tearing beneath hip,1.0,1
burning in limbs,spine is bent,1.0,1
burning in limbs,toe pain worse when walking,1.0,1
burning in limbs,pressing pain beneath coccyx,1.0,1
burning in limbs,roughness of voice,1.0,1
burning in limbs,tension in knees on waking,1.0,1
burning in limbs,boring in fingers,1.0,1
burning in limbs,burning in thigh,1.0,1
burning in limbs,rheumatic drawing in back,1.0,1
burning in limbs,stitches in patella on rising,1.0,1
burning in limbs,burning on right shoulder,1.0,1
burning in limbs,toes stinging,1.0,1
burning in limbs,drawing rheumatic pains in right shoulder,1.0,1
burning in limbs,tearing in hip,1.0,1
burning in limbs,voice almost fails at times,1.0,1
burning in limbs,sensation as if tendons of wrist were shortened,1.0,1
burning in limbs,pains at every weather change,1.0,1
burning in limbs,sensation of stiffness in legs after sleep in evening,1.0,1
burning in limbs,prickling stitches in joints of fingers,1.0,1
burning in limbs,cold knees,1.0,1
burning in limbs,shoulder pain worse from motion,1.0,1
burning in limbs,tearing in right hip,1.0,1
burning in limbs,drawing in arm on which he lies at night,1.0,1
burning in limbs,boring pains in limbs,1.0,1
burning in limbs,pressing cramp-like pain in small of back,1.0,1
burning in limbs,stitches in shoulders,1.0,1
burning in limbs,lancinating pain in wrists when grasping,1.0,1
burning in limbs,sensation of plug in back,1.0,1
burning in limbs,sensation as if tendons of hand were shortened,1.0,1
burning in limbs,sprained pain in right hand,1.0,1
burning in limbs,back pain worse on sitting,1.0,1
burning in limbs,drawing in thigh,1.0,1
burning in limbs,lack of strength in knees,1.0,1
burning in limbs,cramp-like pain on outside of left thigh,1.0,1
burning in limbs,knees go to sleep,1.0,1
burning in limbs,pain in joints of hands,1.0,1
burning in limbs,drawing pain from abdomen down into leg,1.0,1
burning in limbs,great depression of vital forces,1.0,1
burning in limbs,arms weary when writing,1.0,1
burning in limbs,burning in fingers,1.0,1
burning in limbs,limbs go to sleep,1.0,1
burning in limbs,burning in bones,1.0,1
burning in limbs,heartburn very persistent,1.0,1
burning in limbs,thigh stitches passing downward when walking,1.0,1
burning in limbs,stiffness of nape,1.0,1
burning in limbs,paralytic weakness of right shoulder,1.0,1
burning in limbs,great inclination to stretch limbs in evening,1.0,1
burning in limbs,stitches in thigh,1.0,1
burning in limbs,limbs are bruised,1.0,1
burning in limbs,severe nosebleed almost daily,1.0,1
burning in limbs,toes red,1.0,1
burning in limbs,hip pain extending to thigh,1.0,1
burning in limbs,painful sensation as if hat band were too tight,1.0,1
burning in limbs,tearing in fingers of left hand,1.0,1
burning in limbs,bone pain painful on pressure,1.0,1
burning in limbs,complementary with kali carb.,1.0,1
stitches in thigh,burning in limbs,1.0,1
stitches in thigh,rheumatic drawing from loins to coccyx,1.0,1
stitches in thigh,drawing tearing in left arm from elbow to hand,1.0,1
stitches in thigh,hip pain extending to sacrum,1.0,1
stitches in thigh,prickling stitches in fingers,1.0,1
stitches in thigh,toes swollen,1.0,1
stitches in thigh,hand pain worse in windy weather,1.0,1
stitches in thigh,shoulder pain worse in morning,1.0,1
stitches in thigh,tension in thigh in morning,1.0,1
stitches in thigh,pains when beginning to walk,1.0,1
stitches in thigh,prostrated with rheumatic pains,1.0,1
stitches in thigh,great hoarseness,1.0,1
stitches in thigh,drawing in limbs,1.0,1
stitches in thigh,sense of constriction in thigh,1.0,1
stitches in thigh,elbow pain worse by touch,1.0,1
stitches in thigh,tearing in right thigh,1.0,1
stitches in thigh,burning about scapulae,1.0,1
stitches in thigh,cold limbs,1.0,1
stitches in thigh,left thigh pain when lifting it,1.0,1
stitches in thigh,stitches in ankle joint,1.0,1
stitches in thigh,paralytic weakness of right arm,1.0,1
stitches in thigh,cramps in calves at night,1.0,1
stitches in thigh,stiffness of thigh on standing,1.0,1
stitches in thigh,tearing in either wrist,1.0,1
stitches in thigh,pain in scapular region,1.0,1
stitches in thigh,patients with lost vital forces from fluid loss,1.0,1
stitches in thigh,back pain worse on stooping,1.0,1
stitches in thigh,burning in joints of fingers,1.0,1
stitches in thigh,cramp-like tension in shoulders,1.0,1
stitches in thigh,drawing pain in nape up into head,1.0,1
stitches in thigh,unable to sit,1.0,1
stitches in thigh,cramps in lower leg when walking,1.0,1
stitches in thigh,limbs go to sleep easily,1.0,1
stitches in thigh,leg stiffness especially on first beginning to walk,1.0,1
stitches in thigh,aching along spine,1.0,1
stitches in thigh,paralytic pains in knees,1.0,1
stitches in thigh,drawing pain in hip joints,1.0,1
stitches in thigh,hat band sensation remains after hat removed,1.0,1
stitches in thigh,bruised pain in elbow joints,1.0,1
stitches in thigh,stiffness of back,1.0,1
stitches in thigh,aching pain from loins to coccyx,1.0,1
stitches in thigh,cramps in soles evenings after lying down,1.0,1
stitches in thigh,burning on scapula,1.0,1
stitches in thigh,boring in joints of fingers,1.0,1
stitches in thigh,fingers drawn out of shape,1.0,1
stitches in thigh,drawing in shafts of bones,1.0,1
stitches in thigh,drawing pain in back,1.0,1
stitches in thigh,drawing in joints of fingers,1.0,1
stitches in thigh,burning about hips,1.0,1
stitches in thigh,stitches in right great toe,1.0,1
stitches in thigh,pinching pressing pain in lower spine,1.0,1
stitches in thigh,tearing beneath hip,1.0,1
stitches in thigh,spine is bent,1.0,1
stitches in thigh,toe pain worse when walking,1.0,1
stitches in thigh,pressing pain beneath coccyx,1.0,1
stitches in thigh,roughness of voice,1.0,1
stitches in thigh,tension in knees on waking,1.0,1
stitches in thigh,boring in fingers,1.0,1
stitches in thigh,burning in thigh,1.0,1
stitches in thigh,rheumatic drawing in back,1.0,1
stitches in thigh,stitches in patella on rising,1.0,1
stitches in thigh,burning on right shoulder,1.0,1
stitches in thigh,toes stinging,1.0,1
stitches in thigh,drawing rheumatic pains in right shoulder,1.0,1
stitches in thigh,tearing in hip,1.0,1
stitches in thigh,voice almost fails at times,1.0,1
stitches in thigh,sensation as if tendons of wrist were shortened,1.0,1
stitches in thigh,pains at every weather change,1.0,1
stitches in thigh,sensation of stiffness in legs after sleep in evening,1.0,1
stitches in thigh,prickling stitches in joints of fingers,1.0,1
stitches in thigh,cold knees,1.0,1
stitches in thigh,shoulder pain worse from motion,1.0,1
stitches in thigh,tearing in right hip,1.0,1
stitches in thigh,drawing in arm on which he lies at night,1.0,1
stitches in thigh,boring pains in limbs,1.0,1
stitches in thigh,pressing cramp-like pain in small of back,1.0,1
stitches in thigh,stitches in shoulders,1.0,1
stitches in thigh,lancinating pain in wrists when grasping,1.0,1
stitches in thigh,sensation of plug in back,1.0,1
stitches in thigh,sensation as if tendons of hand were shortened,1.0,1
stitches in thigh,sprained pain in right hand,1.0,1
stitches in thigh,back pain worse on sitting,1.0,1
stitches in thigh,drawing in thigh,1.0,1
stitches in thigh,lack of strength in knees,1.0,1
stitches in thigh,cramp-like pain on outside of left thigh,1.0,1
stitches in thigh,knees go to sleep,1.0,1
stitches in thigh,pain in joints of hands,1.0,1
stitches in thigh,drawing pain from abdomen down into leg,1.0,1
stitches in thigh,great depression of vital forces,1.0,1
stitches in thigh,arms weary when writing,1.0,1
stitches in thigh,burning in fingers,1.0,1
stitches in thigh,limbs go to sleep,1.0,1
stitches in thigh,burning in bones,1.0,1
stitches in thigh,heartburn very persistent,1.0,1
stitches in thigh,thigh stitches passing downward when walking,1.0,1
stitches in thigh,stiffness of nape,1.0,1
stitches in thigh,paralytic weakness of right shoulder,1.0,1
stitches in thigh,great inclination to stretch limbs in evening,1.0,1
stitches in thigh,limbs are bruised,1.0,1
stitches in thigh,severe nosebleed almost daily,1.0,1
stitches in thigh,toes red,1.0,1
stitches in thigh,hip pain extending to thigh,1.0,1
stitches in thigh,painful sensation as if hat band were too tight,1.0,1
stitches in thigh,tearing in fingers of left hand,1.0,1
stitches in thigh,bone pain painful on pressure,1.0,1
stitches in thigh,complementary with kali carb.,1.0,1
shoulder pain worse from motion,burning in limbs,1.0,1
shoulder pain worse from motion,rheumatic drawing from loins to coccyx,1.0,1
shoulder pain worse from motion,drawing tearing in left arm from elbow to hand,1.0,1
shoulder pain worse from motion,hip pain extending to sacrum,1.0,1
shoulder pain worse from motion,prickling stitches in fingers,1.0,1
shoulder pain worse from motion,toes swollen,1.0,1
shoulder pain worse from motion,hand pain worse in windy weather,1.0,1
shoulder pain worse from motion,shoulder pain worse in morning,1.0,1
shoulder pain worse from motion,tension in thigh in morning,1.0,1
shoulder pain worse from motion,pains when beginning to walk,1.0,1
shoulder pain worse from motion,prostrated with rheumatic pains,1.0,1
shoulder pain worse from motion,great hoarseness,1.0,1
shoulder pain worse from motion,drawing in limbs,1.0,1
shoulder pain worse from motion,sense of constriction in thigh,1.0,1
shoulder pain worse from motion,elbow pain worse by touch,1.0,1
shoulder pain worse from motion,tearing in right thigh,1.0,1
shoulder pain worse from motion,burning about scapulae,1.0,1
shoulder pain worse from motion,cold limbs,1.0,1
shoulder pain worse from motion,left thigh pain when lifting it,1.0,1
shoulder pain worse from motion,stitches in ankle joint,1.0,1
shoulder pain worse from motion,paralytic weakness of right arm,1.0,1
shoulder pain worse from motion,cramps in calves at night,1.0,1
shoulder pain worse from motion,stiffness of thigh on standing,1.0,1
shoulder pain worse from motion,tearing in either wrist,1.0,1
shoulder pain worse from motion,pain in scapular region,1.0,1
shoulder pain worse from motion,patients with lost vital forces from fluid loss,1.0,1
shoulder pain worse from motion,back pain worse on stooping,1.0,1
shoulder pain worse from motion,burning in joints of fingers,1.0,1
shoulder pain worse from motion,cramp-like tension in shoulders,1.0,1
shoulder pain worse from motion,drawing pain in nape up into head,1.0,1
shoulder pain worse from motion,unable to sit,1.0,1
shoulder pain worse from motion,cramps in lower leg when walking,1.0,1
shoulder pain worse from motion,limbs go to sleep easily,1.0,1
shoulder pain worse from motion,leg stiffness especially on first beginning to walk,1.0,1
shoulder pain worse from motion,aching along spine,1.0,1
shoulder pain worse from motion,paralytic pains in knees,1.0,1
shoulder pain worse from motion,drawing pain in hip joints,1.0,1
shoulder pain worse from motion,hat band sensation remains after hat removed,1.0,1
shoulder pain worse from motion,bruised pain in elbow joints,1.0,1
shoulder pain worse from motion,stiffness of back,1.0,1
shoulder pain worse from motion,aching pain from loins to coccyx,1.0,1
shoulder pain worse from motion,cramps in soles evenings after lying down,1.0,1
shoulder pain worse from motion,burning on scapula,1.0,1
shoulder pain worse from motion,boring in joints of fingers,1.0,1
shoulder pain worse from motion,fingers drawn out of shape,1.0,1
shoulder pain worse from motion,drawing in shafts of bones,1.0,1
shoulder pain worse from motion,drawing pain in back,1.0,1
shoulder pain worse from motion,drawing in joints of fingers,1.0,1
shoulder pain worse from motion,burning about hips,1.0,1
shoulder pain worse from motion,stitches in right great toe,1.0,1
shoulder pain worse from motion,pinching pressing pain in lower spine,1.0,1
shoulder pain worse from motion,tearing beneath hip,1.0,1
shoulder pain worse from motion,spine is bent,1.0,1
shoulder pain worse from motion,toe pain worse when walking,1.0,1
shoulder pain worse from motion,pressing pain beneath coccyx,1.0,1
shoulder pain worse from motion,roughness of voice,1.0,1
shoulder pain worse from motion,tension in knees on waking,1.0,1
shoulder pain worse from motion,boring in fingers,1.0,1
shoulder pain worse from motion,burning in thigh,1.0,1
shoulder pain worse from motion,rheumatic drawing in back,1.0,1
shoulder pain worse from motion,stitches in patella on rising,1.0,1
shoulder pain worse from motion,burning on right shoulder,1.0,1
shoulder pain worse from motion,toes stinging,1.0,1
shoulder pain worse from motion,drawing rheumatic pains in right shoulder,1.0,1
shoulder pain worse from motion,tearing in hip,1.0,1
shoulder pain worse from motion,voice almost fails at times,1.0,1
shoulder pain worse from motion,sensation as if tendons of wrist were shortened,1.0,1
shoulder pain worse from motion,pains at every weather change,1.0,1
shoulder pain worse from motion,sensation of stiffness in legs after sleep in evening,1.0,1
shoulder pain worse from motion,prickling stitches in joints of fingers,1.0,1
shoulder pain worse from motion,cold knees,1.0,1
shoulder pain worse from motion,tearing in right hip,1.0,1
shoulder pain worse from motion,drawing in arm on which he lies at night,1.0,1
shoulder pain worse from motion,boring pains in limbs,1.0,1
shoulder pain worse from motion,pressing cramp-like pain in small of back,1.0,1
shoulder pain worse from motion,stitches in shoulders,1.0,1
shoulder pain worse from motion,lancinating pain in wrists when grasping,1.0,1
shoulder pain worse from motion,sensation of plug in back,1.0,1
shoulder pain worse from motion,sensation as if tendons of hand were shortened,1.0,1
shoulder pain worse from motion,sprained pain in right hand,1.0,1
shoulder pain worse from motion,back pain worse on sitting,1.0,1
shoulder pain worse from motion,drawing in thigh,1.0,1
shoulder pain worse from motion,lack of strength in knees,1.0,1
shoulder pain worse from motion,cramp-like pain on outside of left thigh,1.0,1
shoulder pain worse from motion,knees go to sleep,1.0,1
shoulder pain worse from motion,pain in joints of hands,1.0,1
shoulder pain worse from motion,drawing pain from abdomen down into leg,1.0,1
shoulder pain worse from motion,great depression of vital forces,1.0,1
shoulder pain worse from motion,arms weary when writing,1.0,1
shoulder pain worse from motion,burning in fingers,1.0,1
shoulder pain worse from motion,limbs go to sleep,1.0,1
shoulder pain worse from motion,burning in bones,1.0,1
shoulder pain worse from motion,heartburn very persistent,1.0,1
shoulder pain worse from motion,thigh stitches passing downward when walking,1.0,1
shoulder pain worse from motion,stiffness of nape,1.0,1
shoulder pain worse from motion,paralytic weakness of right shoulder,1.0,1
shoulder pain worse from motion,great inclination to stretch limbs in evening,1.0,1
shoulder pain worse from motion,stitches in thigh,1.0,1
shoulder pain worse from motion,limbs are bruised,1.0,1
shoulder pain worse from motion,severe nosebleed almost daily,1.0,1
shoulder pain worse from motion,toes red,1.0,1
